customer_id,transaction_date,amount
C040,2024-07-01,356.55
C050,2024-07-02,376.65
C035,2024-07-02,76.82
C048,2024-07-02,378.66
C049,2024-07-04,42.87
C030,2024-07-04,410.37
C006,2024-07-05,296.31
C042,2024-07-05,64.21
C045,2024-07-06,101.65
C022,2024-07-09,454.11
C039,2024-07-09,190.77
C036,2024-07-10,294.49
C012,2024-07-13,413.04
C005,2024-07-13,266.3
C035,2024-07-14,200.71
C038,2024-07-15,233.27
C030,2024-07-15,194.37
C041,2024-07-16,377.48
C005,2024-07-17,465.39
C037,2024-07-18,406.84
C009,2024-07-20,225.18
C003,2024-07-21,60.53
C018,2024-07-21,234.54
C030,2024-07-22,126.24
C010,2024-07-22,351.4
C031,2024-07-23,458.27
C049,2024-07-26,90.49
C046,2024-07-27,449.42
C036,2024-07-28,301.12
C014,2024-07-28,193.69
C040,2024-07-29,89.68
C025,2024-08-02,15.96
C042,2024-08-02,493.39
C025,2024-08-04,136.37
C004,2024-08-04,319.6
C045,2024-08-04,266.32
C034,2024-08-05,456.35
C023,2024-08-05,202.3
C050,2024-08-06,258.73
C031,2024-08-06,247.42
C018,2024-08-07,130.52
C034,2024-08-08,399.68
C016,2024-08-08,235.78
C042,2024-08-08,120.06
C037,2024-08-10,493.14
C017,2024-08-10,481.46
C017,2024-08-11,145.92
C029,2024-08-13,485.26
C021,2024-08-13,226.35
C046,2024-08-14,194.47
C003,2024-08-15,387.05
C007,2024-08-16,273.32
C005,2024-08-16,83.46
C033,2024-08-17,467.84
C039,2024-08-17,485.24
C020,2024-08-18,337.64
C033,2024-08-18,403.71
C014,2024-08-19,171.05
C032,2024-08-20,101.42
C032,2024-08-20,315.88
C008,2024-08-20,192.29
C040,2024-08-21,284.86
C042,2024-08-21,487.45
C025,2024-08-22,439.62
C003,2024-08-22,493.45
C012,2024-08-22,393.99
C032,2024-08-22,166.46
C006,2024-08-23,382.51
C029,2024-08-23,26.43
C037,2024-08-23,299.06
C018,2024-08-23,397.87
C024,2024-08-23,270.74
C003,2024-08-24,176.99
C039,2024-08-27,301.86
C028,2024-08-27,85.14
C029,2024-08-27,351.36
C014,2024-08-27,271.4
C023,2024-08-28,148.2
C008,2024-08-29,405.04
C034,2024-08-29,177.62
C009,2024-08-31,31.15
